" اونی که توی عکس زده نیست, روی لب کلن یه رنگ دیگه میشه, چرب و نرمه, ولی یکمی شاین داره و مات نیست ",رنگش,negative,"['رنگ: Positive', 'چگب و نرمی: Positive', 'شاین: Negative']"
"آقا من این گوشی رو نزدیکه ۲ ماه دارم روی این گوشی همه نوع بازی اجرا کردم مثل NBA ۲k۱۶, need for speed ,و …. خوبی این گوشی هنگ نمی کنه ولی یه مشکلی داره فقط تو شب هم معلوم میشه این که یک برنامه ای رو باز می کنید مثل تلگرام بعد که میرید تو یه برنامه دیگه مثل فیلم دیدن پشتش اون صفحه تلگرام خیلییییییی کم رنگ معلومه. ولی هنگ نکرده تا الان ودوربینش عالیه و باتری خیلی خوبی داره خیلی زود شارژ میکنه و دیرم خالی می کنه ",صفحه,negative,"['laştırsibling: Positive', 'برنامه: Negative', 'باتری: Positive']"
آقا من نظر خونده بودم که سر و صداش زیاده! ولی فک نمیکردم اونقدر باشه که صدای ما همکار ها به هم نرسه! اصلا انگار اومده جنگ!!! ولی ارزونه دیگه خوبه! راضیم اما واقعا باید به همه بگم کسی تلفنی چیزی نداره یه دقیقه پرینت بگیرم! چون اصلا نمی تونین تضور کنین چقدر صدا تولید می کنه از خودش! ,صدا,negative,"['سر و صداز: Negative', 'صدای کارها: Negative', 'ارزونه: Positive']"
آقاچرا این حرفارو میزنید بابا گوشی خوبیه قدرشو نمی دونید اآقا این گوشی بیچاره براتون به اندروید ۷و۸آپدیت هم آپدیت میشه قدرشو بدونید بقرآن از این گوشی بهتر گیر نمیاد این از مدل Jیه شاهکاره بهتون قول میدم اگه بخرید عاشقش می شید. قابل توجه دوستانی که میگن فلاش جلونداره فلاش جلو تو خود صفحه نمایش گوشیه. پشیمون نمی شید. ,گوشی,positive,"['نماد: Positive', 'صفحه نمایش: Negative', 'باتری: Negative', ' Design: Positive']"
آقایون عزیز، خانوم های محترم زیاد وقتتون رو نمیگیریم فقط اینکه تو انتخاب و خرید گوشی حساس و سخت گیر نباشید بنده خودم به شخصه ۳ هفته درگیر بررسی های مختلف بودم از lg v۲۰ و ONEPLUS ۳t شروع کردم الی ماشاال … حرف آخر اینکه با یه حساب سر انگشتی دیدم این گوشی با قیمت مناسبش از پس تمام کار های روزمرم بر میاد وارد جزییات نمیشم خلاصه که دوربینش خوب و راضی کنندست، باطریش عالیه، پردازنده جواب کار رو میده و خیلی چیز های دیگه مرسی که وقت گذاشتین ,"دوربینش, پردازنده, باطریش, قیمت","positive, positive, positive, positive","[' Price: Positive', ' Camera: Positive', 'Battery: Negative', 'Processor: Positive']"
آقایون و خانم ها اگر قصد خرید این گوشی رو دارید و دو دل هستید به انتخابتون شک نکنید با این قیمت عالیه عالیه عالیه همچیش خوبه هم دوربین، هم صفحه نمایش، هم سنسور اثر انگشت، تازه OTG هم ساپورت میکنه من کاملا رازیم ,"سنسور اثر انگشت،, صفحه نمایش،, قیمت, دوربین،","positive, positive, positive, positive","['سیستوم: Positive', 'نمایشگر: Positive', 'سنسور اثر انگشت: Positive', 'OTG: Positive']"
آنتن دهی بسیار قوی ,آنتن دهی,positive,['انتن دهی: Positive']
آنتن گیری این مودم بسیار خوب هست و تنظیماتش هم بسیار ساده صورت می گیره. منتها ابعادش به نحوی هست که پورتهای یو اس بی مجاورش رو غیرقابل استفاده میکنه. اگر سیم کارتتون نانو یا مایکرو هست، نیاز به تبدیل سیم کارت دارین! ,"تنظیماتش, آنتن گیری, تبدیل سیم","positive, positive, positive","['انتن: Positive', 'تنظیمات: Positive', ' Port USB: Negative']"
آگه دنبال گوشی هستی که در هر موقعیتی بتونی روش حساب کنی این مدل از سونی بهترین گزینه هست.. دوربینش فوق العاده است هست.. ,"دوربینش, گوشی","positive, positive","['دوربین: Positive', 'körper: Positive']"
ا ز این لحاظ که ۲کاربرد داره دستگاه خوبیه انتن دهیش (وای فای رو میگم) مثل مودم d-link ۲۷۵۰ عالی نیست ولی بد هم نیس متوسطه کلا خوبه ولی ۲تا ضعف داره یکیش که زبان چینی اپلیکیشنش هست که اصلا قابل تغییر نیست زبانش تنها راهش برای اینکه بفمید چی نوشته اینه که با یه گوشی دیگه که نرم افزار گوگل ترنسلیت روش نصبه ترجمه کنین عباراتش رو: | و ضعف اصلیش اینه که wps رو کلا نمیشه غیرفعال کرد اینجوری راحت میتونن همسایهها هک کنن: | اصلا گزینهای نداره براش توی تنظیمات شاید من ندیدم اگه هست بگید ما هم بدونیم ,دستگاه,positive,"['انتن: Negative', 'مدول d-link: Negative', 'برنامه‌نfährt: Negative', 'زبان: Negative', 'wps: Negative']"
اa۵هم خوبه ولی به نظرم j۷pro. بهتره ,j۷pro.,positive,"[' محصول: Negative', ' Design: Positive', ' کارایی: Positive']"
ابتدا از دیجی کالا کمال تشکر دارم در کمتر از ۲۴ ساعت بعد از خرید گوشی بدستم رسید بسته بندی بسیار شکیل داره تو نظرات خوندم ولی کسی اشاره نکرده بود لازمه ذکر منم این گوشی توی جعبه یه دونه قاب دور گوشی شفاف داره که بخواین از بیرون مشابه اون تهیه کنین حداقل ۴۵ تا ۷۰ تومن باید هزینه کنین ولی این فابریک خود گوشی هست و به راحتی رو گوشی نصب میشه!!! کیفیت صدای خیلی خوبی داره هندزفریهای ارگونومیک که گوش اصلا اذیت نمیشه کیفیت دوربین متوسطه زیاد انتظار بالایی ازش نداشته باشین سنسور اثر انگشت عملکرد فوقالعاده داره کیفیت صفحه نمایش عالیه در مقایسه با همرده هاش مثل samsung a۳ ۲۰۱۷ خیلی سرتر هست باطری عالی هست ,کیفیت دوربین,neutral,"[' دیجی: Positive', 'ب Pakaging: Positive', ' قاب دور: Negative', 'qualität صدا: Positive', 'هندزفری: Positive', 'قamera: Positive', 'سنسور: Positive', 'صفحه نمایش: Positive', 'باتری: Negative']"
ابتدا میخوام از عوامل وب سایت دیجی کالا تشکر کنم در مورد این ساعت میخواستم بگم که من حدود یک هفته است که از دیجی کالا خریدمش جنس بدنه این ساعت در حد متوسط و یا حتی پائینتر هست برخلاف اظهار نظر دیجی کالا در مورد شرکت سیکو که نوشته همه قطعات و ساعتهای سیکو در خود این شرکت در ژاپن تولید میشه این ساعت ساخت و یا مونتاژ چین هستش (در زیر ساعت نوشته ساخت چین) در قوطی این ساعت هیچ چیزی نوشته نشده بجز اسم سیکو!!!! از دیجی کالا خواهش میکنم هر کالایی رو که میذاره واسه فروش اولا عکس یدونه از اون کالا نذاره دوما اطلاعات کامل از جمله اینکه این کالا ساخت کجاست رو حتما بنویسه (نه مبدا برندش رو) با تشکر از دیجی کالا ,جنس بدنه این ساعت,neutral,"['بدنه: Negative', 'شرکت: Positive', 'ساخت: Negative']"
ابزار خوبی هست، برای لباسهای ظریف و حتی بافتنی … تو ماشین لباسشویی ازشون محافظت میکنه ,ابزار,positive,"['لباس: Positive', 'بافتن: Positive', 'ماشین لباسشویی: Positive']"
ابعاد مطابق انچه توی مشخصات ذکر شده نیست رنگش شبیه به عکس نیست اصلا و کاملا تیره هست راهنما یا تصویر برای نصب نداره بسته بندی شکلیلی نداشت ولی سالم به دستم رسید جنسش هم متوسط هست در کل خریدش رو توصیه نمیکنم ,جنسش,neutral,"['색: Negative', 'růresized: Negative', 'gyenاس: Negative', 'ب Pakaging: Negative', 'نوع: Negative']"
ابعاد کوچیکی داره و گیره کاربردی داره سر پیچ گوشتیش ابعاد خوب و مناسبی داره نسبت به فازمترهای دیگه؛ لامپ پرنورتری داره ولی در کل کیفیت متوسطی داره و اگر فرد فنی کاری باشید جوری نیستش که از خریدش لذت ببرید! فقط بدرد همون تست برق میخوره و نه بیشتر ,کیفیت,neutral,"[' ابعاد: Positive', ' گیره: Negative', ' گوشتیش: Positive', 'qualität: Negative', ' لامپ: Positive']"
ابعادش کمی کوتاهه متاسفانه ومفصل هاشم پلاستیکیه. کار من رو برای مطاله راه می ندازه خوبه ,"ابعادش, ومفصل هاشم","negative, negative","['اندازه: Negative', 'مفصل هاشم: Negative', ' Plastic body: Negative', 'Price: Negative']"
ابن گوشی رو سال قبل با توجه به نظرات مثبت اکثر کاربران برای همسرم از دیجی کالا خریدم. موقع خرید به خاطر ظاهرش تردید داشتم. چون از نظر من گوشی های سامسونگ قشنگ نیستن. همسرم خیلی از این گوشی راضی هست. بخصوص که اندرویدش رو ارتقا داد. میزان استفاده ایشون از گوشی زیاد هست. بعضی ها در مورد کیفیت صفحه نمایش، دوربین جلو ناراضی بودن. که البته این تا حدی بستگی به انتظار هر فرد از گوشی و سلیقه و دیدگاه (تخصصی یا غیر تخصصی) افراد داره. با توجه به قیمت مناسبش در سال گذشته گوشی خیلی خوبی هست. ,"گوشی, قیمت, گوشی, ظاهرش","positive, positive, positive, negative","['ظاهرش: Negative', ' cellular: Negative', 'جlegel صفحه نمایش: Negative', ' Aniston: Positive', ' macrophage: Positive']"
اتصالاتش کامله جمع و جوره کار کردن باهاش خیلی راحته و دنگ و فنگ نداره حجم صداش در حد متوسطه کیفیت ساختش هم متوسطه در کل محصول خوبیه و راضیتون میکنه فقط کاش وقتی شارژ نداره به محض اتصال به usb میشد ازش استفاده کرد اما این طور نیست ,"حجم صداش, کیفیت ساختش","neutral, neutral","['حجم صدا: 中等', '品質 ساختش: 中等', 'عملی کار: مثبت']"
اتو این رنج قیمت بهترین انتخاب هستش. من با تمام گوشیهای هم سطح خودش مقایسه کردم. بدون شک از همشون بهتره اون هم با اختلاف. ,قیمت,positive,"['قیمت: Positive', ' Freeway: Positive']"
اثر انگشت نداره برخلاف چیز هایی که درباره گوشی نوشته شده من میخواست p۹ liteبگیرم ولی فروشنده اینو پیشنهاد داد گرفتم این اشتباه رو نکنید p۹liteهم قیمت k۱۰هست و امکاناتش بهتره اثر انگشت هم داره. ,اینو,negative,"['laştırنده: Negative', ' macrophage: Positive', 'قیمت: Negative']"
اثر انگشتش در کسری از ثانیه و با صفحه خاموش باز میکنه اصلا هنگ نمیکنه و باتری خوبی داره دوربینش هم با توجه به نداشتن لرزش گیر اپتیکال خوبه و راضی کنندس ,"دوربینش, اثر انگشتش, باتری","positive, positive, positive","['laştırش: Positive', 'صفحه خاموش: Positive', 'باتری: Positive', 'دوربین: Positive']"
اثر انگشتش سرعت معمولی داره. شارژ سریع نداره و با استفاده مداوم باید ۳ ساعت در روز شارژ بشه. کارت حافظه بالای ۳۲ میتونه بهتر جواب بده تا زود پر نشه. تو شیش ما استفاده راضیم ,"شارژ سریع, اثر انگشتش, حافظه","negative, neutral, negative","['سرعت: Negative', 'شارژ: Positive', '卡رت حافظه: Positive', 'laştırش: Negative']"
اجناسی که گارانتی فیوچر دارن بدرد نمیخورن چون کیفیتشون پایینه دلیلشم تو گوگل سرچ کنید ,"کیفیتشون, گارانتی فیوچر","negative, negative","['گارانتی: Negative', 'qualität: Negative']"
احساس میکنی روی چوب خوابیدی. من به شخصه بالش سفت دوست دارم اما این دیگه خیلی سفته. بعد از یک شب خواب احساس فشار زیاد به سر و گردن دارم. ,"بالش سفت, این","positive, negative","['چوب بedding: Negative', 'شب: Negative', 'سر و گردن: Negative']"
اخرش بعد اونهمه کش و قوس و بالا پایین کردن گوشیهای همرده وحساسیت بسیار دلو زدم به دریا و رفتم از محلمون گرفتم. راجب صفحه باید بگم که از لحاظ زاویه دید خیلی عالی هستش واصلا اذیت نمیکنه باطری که فوق العاده و خوب جواب میده من که باحاش دو روز کار میکنم در کل اگه کسی خواست بخره تو این رنج قیمت به نظرم سراغ مدل های مثل دیگه coreو … نره و تو خریدش شک نکنه ,باطری,positive,"['زاویه دید: Positive', ' batting: Positive', 'heets: Negative']"
