Fa_sentenc,En_aspect,En_sentiment
آب را با تمام ظرفیت که ۱٫۷ لیتر هست رو تو چهار دقیقه جوش میاره برند آلمانی مخصوصا بوش که جای هیچ ایرادی رو نداره کیفیت و شکل ظاهری محصول هم زیباست ,"[' آب را', ' لیتر', ' جوش میاره برند آلمانی مخصوصا بوش که جای هیچ ایرادی رو نداره', ' کیفیت و شکل ظاهری محصول هم زیباست']","[' Neutral', ' Neutral', ' Positive', ' Positive ']"
آخه دوربین ضعیف تراکم پیکسلی کم اندروید پایین رم۲ قدیمی بودن پردازنده ,"['گوشی', ' دوربین', ' اندروید', ' پردازنده']","[' Negative', ' Negative', ' Negative', ' Negative']"
آدم یه نظر هایی میبینه که میخواد شاخ در بیاره نه در مورد این گوشی به طور کلی میگم، یه سری ها گوشیو از نزدیک هم ندیدن اونوقت یه نظر هایی مینویسن که سازنده گوشی هم نمیدونه اما در مورد این گوشی: این گوشی در حد یک میان رده خوبه کیفیت صفحه نمایش خوب و باطری نسبتن خوب چیپستاشم که یه امتیاز خوب تلقی میشه برای این گوشی فقط یکم لوس شده دست هرکی میبینی یا j۷هستیاj۵ ,"['گوشی', ' Good', ' قیمت صفحه نمایش', ' Good', ' باتری', ' Good', ' چیپستا', ' Good']",[]
آغا من این گوشیو ۴ماهه خریدم واااقعا عالیه واسه کسایی که میخوان گوشی سامسونگ بخرن این گوشی بهترین انتخابه شک نکنید!!! ,['گوشی'],[' Positive']
آقا این دیگه چه گوشی بی نظیریه ازدیجی نخریدم ورام اماراته اندروید ۷ ارتقادادم بهترین گوشی که تاحالا خریدم قبلا s۷داشتم اصلا رتضی نبودم ازش ولی این گوشی آرزوی منو براورده کرد. بخرید ببینید چه گوشیه فقطJ۷primeهمینو بس عاشقشم. ,"['گوشی', ' اندروید ۷', ' ارتقادادم']","[' Positive', ' Positive', ' Neutral']"
آقا به نظر من کلا دستگاه خوبیه، من تقریبا دو هفتس از دیجی کالا گرفتمش واقعا ازش راضی ام، کیفیت چاپش ک برا من مهمه واقعا عالیه ولی من برا مصارف خونگی پیشنهاد میکنم درسته ک کارتیجاش گروته ولی میشه شارژش کرد ,"['دستگاه', ' کیفیت چاپش', ' مصارف خونگی', ' ک کارتیجاش', ' شارژش کرد']","[' Positive', ' Positive', ' Neutral', ' Negative', ' Positive']"
آقا در یک کلام این محصول عالیه فقط وقتی دانلود میکنید، داغ میکنه که زیاد خوب نیست. ولی در برابر کاراییش هیچه!! پیشنهاد میکنم ,"['محصول', ' کارایی']","[' Negative', ' Positive']"
آقا عالی، حرف نداره بلافاصله گوشی به عنوان شارژ سریع شناختش. خیلی با کیفیته و کابل بسیار محکم و خوبی داره. اصلا شارژره از قیافش مشخصه که یه سرو گردن از شارژرهای دیگه بهتره ,"['شارژ سریع', ' کیفیته', ' کابل', '  شارژر']","[' Positive', ' Positive', ' Positive', ' Positive']"
"آقا من این گوشی رو نزدیکه ۲ ماه دارم روی این گوشی همه نوع بازی اجرا کردم مثل NBA ۲k۱۶, need for speed ,و …. خوبی این گوشی هنگ نمی کنه ولی یه مشکلی داره فقط تو شب هم معلوم میشه این که یک برنامه ای رو باز می کنید مثل تلگرام بعد که میرید تو یه برنامه دیگه مثل فیلم دیدن پشتش اون صفحه تلگرام خیلییییییی کم رنگ معلومه. ولی هنگ نکرده تا الان عالیه و باتری خیلی خوبی داره خیلی زود شارژ میکنه و دیرم خالی می کنه ","['گوشی', ' \nعمل بازی', ' \nقابلیت اجرا برنامه ها', ' \nهنگ کردن', ' \nقابلیت شارژ باتری']","[' Positive', ' Positive', ' Neutral', ' Negative', ' Positive']"
"آقا من این گوشی رو نزدیکه ۲ ماه دارم روی این گوشی همه نوع بازی اجرا کردم مثل NBA ۲k۱۶, need for speed ,و …. خوبی این گوشی هنگ نمی کنه ولی یه مشکلی داره فقط تو شب هم معلوم میشه این که یک برنامه ای رو باز می کنید مثل تلگرام بعد که میرید تو یه برنامه دیگه مثل فیلم دیدن پشتش اون صفحه تلگرام خیلییییییی کم رنگ معلومه. ولی هنگ نکرده تا الان ودوربینش عالیه و باتری خیلی خوبی داره خیلی زود شارژ میکنه و دیرم خالی می کنه ","['گوشی', ' هنگ نکردن', ' پروگرامها', ' باتری']","[' Positive', ' Positive', ' Neutral', ' Positive']"
آقا من نظر خونده بودم که سر و صداش زیاده! ولی فک نمیکردم اونقدر باشه که صدای ما همکار ها به هم نرسه! اصلا انگار اومده جنگ!!! ولی ارزونه دیگه خوبه! راضیم اما واقعا باید به همه بگم کسی تلفنی چیزی نداره یه دقیقه پرینت بگیرم! چون اصلا نمی تونین تضور کنین چقدر صدا تولید می کنه از خودش! ,"[' پرینت', ' صدا تولید']","[' Neutral', ' Negative']"
آقاچرا این حرفارو میزنید بابا گوشی خوبیه قدرشو نمی دونید اآقا این گوشی بیچاره براتون به اندروید ۷و۸آپدیت هم آپدیت میشه قدرشو بدونید بقرآن از این گوشی بهتر گیر نمیاد این از مدل Jیه شاهکاره بهتون قول میدم اگه بخرید عاشقش می شید. قابل توجه دوستانی که میگن فلاش جلونداره فلاش جلو تو خود صفحه نمایش گوشیه. پشیمون نمی شید. ,"['گوشی', ' اندروید', ' اپدیت', ' قدرشو بدونید', ' قران از این گوشی بهتر گیر نمیاد', ' از مدل Jیه شاهکاره بهتون قول میدم']","[' Positive', ' Neutral', ' Neutral', ' Positive', ' Negative', ' Positive']"
آقایون عزیز، خانوم های محترم زیاد وقتتون رو نمیگیریم فقط اینکه تو انتخاب و خرید گوشی حساس و سخت گیر نباشید بنده خودم به شخصه ۳ هفته درگیر بررسی های مختلف بودم از lg v۲۰ و ONEPLUS ۳t شروع کردم الی ماشاال … حرف آخر اینکه با یه حساب سر انگشتی دیدم این گوشی با قیمت مناسبش از پس تمام کار های روزمرم بر میاد وارد جزییات نمیشم خلاصه که دوربینش خوب و راضی کنندست، باطریش عالیه، پردازنده جواب کار رو میده و خیلی چیز های دیگه مرسی که وقت گذاشتین ,"['گوشی', ' دوربین', ' پردازنده', ' باطری']","[' Positive', ' Positive', ' Positive', ' Positive']"
آقایون و خانم ها اگر قصد خرید این گوشی رو دارید و دو دل هستید به انتخابتون شک نکنید با این قیمت عالیه عالیه عالیه همچیش خوبه هم دوربین، هم صفحه نمایش، هم سنسور اثر انگشت، تازه OTG هم ساپورت میکنه من کاملا رازیم ,"['گوشی', ' دوربین', ' صفحه نمایش', ' سنسور اثر انگشت', ' OTG ساپورت']","[' Positive', ' Positive', ' Positive', ' Positive', ' Positive']"
آنتن دهی بسیار قوی ,['انتن دهی'],[' Positive']
آنتن گیری این مودم بسیار خوب هست و تنظیماتش هم بسیار ساده صورت می گیره. منتها ابعادش به نحوی هست که پورتهای یو اس بی مجاورش رو غیرقابل استفاده میکنه. اگر سیم کارتتون نانو یا مایکرو هست، نیاز به تبدیل سیم کارت دارین! ,"['مودم', ' تنظیات', ' ابعاد', ' پورتهای یو اس بی']","[' Positive', ' Positive', ' Neutral', ' Negative']"
آگه دنبال گوشی هستی که در هر موقعیتی بتونی روش حساب کنی این مدل از سونی بهترین گزینه هست.. دوربینش فوق العاده است هست.. ,"['گوشی', ' دوربین', ' باتری']","[' Positive', ' Positive', ' Negative']"
ا ز این لحاظ که ۲کاربرد داره دستگاه خوبیه انتن دهیش (وای فای رو میگم) مثل مودم d-link ۲۷۵۰ عالی نیست ولی بد هم نیس متوسطه کلا خوبه ولی ۲تا ضعف داره یکیش که زبان چینی اپلیکیشنش هست که اصلا قابل تغییر نیست زبانش تنها راهش برای اینکه بفمید چی نوشته اینه که با یه گوشی دیگه که نرم افزار گوگل ترنسلیت روش نصبه ترجمه کنین عباراتش رو: | و ضعف اصلیش اینه که wps رو کلا نمیشه غیرفعال کرد اینجوری راحت میتونن همسایهها هک کنن: | اصلا گزینهای نداره براش توی تنظیمات شاید من ندیدم اگه هست بگید ما هم بدونیم ,"['دستگاه', ' قابلیت ۲کاربرد', ' زبان چینی اپلیکیشن', ' وضعیت WPS']","[' Positive', ' Positive', ' Negative', ' Negative']"
اa۵هم خوبه ولی به نظرم j۷pro. بهتره ,"['product', ' j7pro']","[' Positive', ' Negative']"
ابتدا از دیجی کالا کمال تشکر دارم در کمتر از ۲۴ ساعت بعد از خرید گوشی بدستم رسید بسته بندی بسیار شکیل داره تو نظرات خوندم ولی کسی اشاره نکرده بود لازمه ذکر منم این گوشی توی جعبه یه دونه قاب دور گوشی شفاف داره که بخواین از بیرون مشابه اون تهیه کنین حداقل ۴۵ تا ۷۰ تومن باید هزینه کنین ولی این فابریک خود گوشی هست و به راحتی رو گوشی نصب میشه!!! کیفیت صدای خیلی خوبی داره هندزفریهای ارگونومیک که گوش اصلا اذیت نمیشه کیفیت دوربین متوسطه زیاد انتظار بالایی ازش نداشته باشین سنسور اثر انگشت عملکرد فوقالعاده داره کیفیت صفحه نمایش عالیه در مقایسه با همرده هاش مثل samsung a۳ ۲۰۱۷ خیلی سرتر هست باطری عالی هست ,"['دیجی کالا', ' بسته بندی', ' قاب دور گوشی', ' هندزفریهای ارگونومیک', ' کیفیت صدای', ' دوربین', ' سنسور اثر انگشت', ' کیفیت صفحه نمایش', ' باتری']","[' Neutral', ' Positive', ' Positive', ' Positive', ' Positive', ' Neutral', ' Positive', ' Positive', ' Positive']"
ابتدا میخوام از عوامل وب سایت دیجی کالا تشکر کنم در مورد این ساعت میخواستم بگم که من حدود یک هفته است که از دیجی کالا خریدمش جنس بدنه این ساعت در حد متوسط و یا حتی پائینتر هست برخلاف اظهار نظر دیجی کالا در مورد شرکت سیکو که نوشته همه قطعات و ساعتهای سیکو در خود این شرکت در ژاپن تولید میشه این ساعت ساخت و یا مونتاژ چین هستش (در زیر ساعت نوشته ساخت چین) در قوطی این ساعت هیچ چیزی نوشته نشده بجز اسم سیکو!!!! از دیجی کالا خواهش میکنم هر کالایی رو که میذاره واسه فروش اولا عکس یدونه از اون کالا نذاره دوما اطلاعات کامل از جمله اینکه این کالا ساخت کجاست رو حتما بنویسه (نه مبدا برندش رو) با تشکر از دیجی کالا ,"['ساعت سیکو', ' قوطی ساعت']","[' Neutral (until the last paragraph)', ' then Negative', ' Negative']"
ابزار خوبی هست، برای لباسهای ظریف و حتی بافتنی … تو ماشین لباسشویی ازشون محافظت میکنه ,['ابزار خوبی هست، برای لباسهای ظریف و حتی بافتنی … تو ماشین لباسشویی ازشون محافظت میکنه \n\nماشین لباسشویی'],[' Neutral']
ابعاد مطابق انچه توی مشخصات ذکر شده نیست رنگش شبیه به عکس نیست اصلا و کاملا تیره هست راهنما یا تصویر برای نصب نداره بسته بندی شکلیلی نداشت ولی سالم به دستم رسید جنسش هم متوسط هست در کل خریدش رو توصیه نمیکنم ,"['ابعاد', ' رنگ', ' راهنما یا تصویر برای نصب', ' بسته بندی شکلیلی', ' جنسش']","[' Negative', ' Negative', ' Negative', ' Negative', ' Neutral']"
ابعاد کوچیکی داره و گیره کاربردی داره سر پیچ گوشتیش ابعاد خوب و مناسبی داره نسبت به فازمترهای دیگه؛ لامپ پرنورتری داره ولی در کل کیفیت متوسطی داره و اگر فرد فنی کاری باشید جوری نیستش که از خریدش لذت ببرید! فقط بدرد همون تست برق میخوره و نه بیشتر ,"['ابعاد کوچیکی داره و گیره کاربردی داره', '\nسر پیچ گوشتیش ابعاد خوب و مناسبی داره نسبت به فازمترهای دیگه', '\nلامپ پرنورتری داره', '\nکیفیت متوسطی داره', '\nاگر فرد فنی کاری باشید جوری نیستش که از خریدش لذت ببرید!', '\nبدرد همون تست برق میخوره و نه بیشتر']","[' Neutral', ' Neutral', ' Positive', ' Negative', ' Negative', ' Neutral']"
ابعادش کمی کوتاهه متاسفانه ومفصل هاشم پلاستیکیه. کار من رو برای مطاله راه می ندازه خوبه ,"['ابعادش', ' مفصل ها', ' کار من رو برای مطاله']","[' Negative', ' Negative', ' Positive']"
ابن گوشی رو سال قبل با توجه به نظرات مثبت اکثر کاربران برای همسرم از دیجی کالا خریدم. موقع خرید به خاطر ظاهرش تردید داشتم. چون از نظر من گوشی های سامسونگ قشنگ نیستن. همسرم خیلی از این گوشی راضی هست. بخصوص که اندرویدش رو ارتقا داد. میزان استفاده ایشون از گوشی زیاد هست. بعضی ها در مورد کیفیت صفحه نمایش، دوربین جلو ناراضی بودن. که البته این تا حدی بستگی به انتظار هر فرد از گوشی و سلیقه و دیدگاه (تخصصی یا غیر تخصصی) افراد داره. با توجه به قیمت مناسبش در سال گذشته گوشی خیلی خوبی هست. ,"['گوشی', ' ظاهر', ' اندروید', ' صفحه نمایش', ' Mixed', ' دوربین جلو', ' قیمت']","[' Positive', ' Neutral', ' Positive', ' Negative', ' Positive']"
اتصالاتش کامله جمع و جوره کار کردن باهاش خیلی راحته و دنگ و فنگ نداره حجم صداش در حد متوسطه کیفیت ساختش هم متوسطه در کل محصول خوبیه و راضیتون میکنه فقط کاش وقتی شارژ نداره به محض اتصال به usb میشد ازش استفاده کرد اما این طور نیست ,['اتصالاتش'],"[' Neutral\nکامله جمع و جوره کار کردن باهاش', ' Positive\nراحته و دنگ و فنگ نداره', ' Positive\nحجم صداش در حد متوسطه', ' Neutral\nکیفیت ساختش هم متوسطه', ' Neutral\nمحصول خوبیه و راضیتون میکنه', ' Positive\nاما کاش وقتی شارژ نداره به محض اتصال به usb میشد ازش استفاده کرد', ' Negative\nاین طور نیست', ' Negative']"
اتو این رنج قیمت بهترین انتخاب هستش. من با تمام گوشیهای هم سطح خودش مقایسه کردم. بدون شک از همشون بهتره اون هم با اختلاف. ,['اتو'],"[' Positive\nرنج', ' Positive']"
اثر انگشت نداره برخلاف چیز هایی که درباره گوشی نوشته شده من میخواست p۹ liteبگیرم ولی فروشنده اینو پیشنهاد داد گرفتم این اشتباه رو نکنید p۹liteهم قیمت k۱۰هست و امکاناتش بهتره اثر انگشت هم داره. ,"['انگشت سنج', ' قیمت', ' امکانات', ' اثر انگشت']","[' Negative', ' Neutral', ' Positive', ' Positive']"
اثر انگشتش در کسری از ثانیه و با صفحه خاموش باز میکنه اصلا هنگ نمیکنه و باتری خوبی داره دوربینش هم با توجه به نداشتن لرزش گیر اپتیکال خوبه و راضی کنندس ,"['اثر انگشتش', ' صفحه خاموش باز میکنه', ' هنگ نمیکنه', ' باتری خوبی داره', ' دوربینش با توجه به نداشتن لرزش گیر اپتیکال خوبه']","[' Neutral', ' Neutral', ' Positive', ' Positive', ' Positive']"
