sentence,aspect,polarity,LLM_aspect
"a۵۲۰۱۷  گوشی خوبی باطری قوی داره ولی یکم قیمتش بالاس کیفیت دوربین خیلی خوبی داره نسبت به a۷خیلی بهتر. در کل گوشی خیلی خوبی اینکه سامسونگ رو با گوشی هایی چون هواوی ,htc,sony مقایسه نکیند. ","باطری, کیفیت دوربین, قیمتش, a۵۲۰۱۷","positive, positive, negative, positive","'گوشی خوبی باطری قوی داره ولی یکم قیمتش بالاس کیفیت دوربین خیلی خوبی داره نسبت به a۷خیلی بهتر.
در کل گوشی خیلی خوبی اینکه سامسونگ رو با گوشی هایی چون هواوی ,htc,sony مقایسه نکیند.

Output:
['گوشی: Positive', 'باتری قوی: Positive', 'قیمت: Negative', 'کیفیت دوربین: Positive']"
c۷ از این گوشی بهتره من اول میخواستم a۷بخرم بعد توی گوشی فروشی این دوتا رو کنارهم گذاشتم و از همه لحاظ مقایسه کردم که c۷خیلی بهتر بود هم دوربینش خیلی بهتره هم سرعتش بیشتره هم خیلی خوش دست تر هس ,"c۷, این گوشی","positive, negative","[گوشی: Positive]
[دوربین: Positive]
[سرعت: Positive]
[خوش دست تر: Positive]

Note: The sentiment analysis is based on the words used in the review, and it may not be a 100% accurate representation of the reviewer's true feelings."
j۷ prime: گوشی بسیار قوی-دوربین منحصر به فرد- رم۳-باطری قوی p۱۰lite: پردازنده قوی تر - دوربین عالی -رم۴-باطری قوی- اندروید ۷ معایبj۷prime: نداشتن nfc-پیکسل کمتر نسبت به p۱۰ lite-وزن نسبتا بالا معایبp۱۰ lite: باطری ضعیف تر نسبت به j۷ prime-نداشتن منوی فارسی ,"گوشی, دوربین, پردازنده","positive, positive, positive","['گوشی: بسیار قوی-دوربین منحصر به فرد-رم۳-باطری قوی: Positive',
'پردرنده قوی تر - دوربین عالی -رم۴-باطری قوی- اندروید ۷: Positive',
'نداشتن nfc: Negative',
'پیکسل کمتر نسبت به p۱۰ lite: Negative',
'وزن относительно بالا: Neutral',
'باطری ضعیف تر نسبت به j۷ prime: Negative',
'نداشتن منوی فارسی: Negative']"
p۹ lite خیلی بهتر از اینه ,اینه,negative,"p۹ lite خیلی بهتر از اینه

['پ۹ لایت: Positive']"
، اصلا احتیاجی به صرف هزینه چند صد هزاری برای محصولات خارجی نیست و این نیاز شما رو چه برای اداری و صنعتی و چه برای مطالعه برطرف این رو من چند روز پیش گرفتم، برای کار عکس برداری احتیاج داشتم. کاملا قابل انعطاف هست و میتونید زاویه تابش نور رو تنظیم کنید، تنها مورد و نقطه ضعفش قسمت وصل شونده به پایه هست که کاملا محکم نمیشه البته این باعث نمیشه ثابت نایسته اما بهتر بود محکمتر باشه، جنس قطعات با اینکه نیاز رو برطرف میکنه کیفیت بالایی نداره که البته با توجه به قیمت مناسب نباید توقع داشت. در کل این محصول تا دو برایر این قیمت ارزش خرید داره. توی خریدش شک نکنید. ,"قیمت, جنس قطعات, قسمت وصل شونده","positive, negative, negative","['محصول: Neutral', 'قابلیت انعطاف: Positive', 'زاویه تابش نور: Positive', 'پایه: Negative', 'جنس قطعات: Neutral', 'کیفیت: Neutral']"
آب را با تمام ظرفیت که ۱٫۷ لیتر هست رو تو چهار دقیقه جوش میاره برند آلمانی مخصوصا بوش که جای هیچ ایرادی رو نداره کیفیت و شکل ظاهری محصول هم زیباست ,"شکل ظاهری محصول, برند آلمانی مخصوصا بوش","positive, positive","[ آب را: Neutral, لیتر: Neutral, جوش میاره برند آلمانی مخصوصا بوش که جای هیچ ایرادی رو نداره: Positive, کیفیت و شکل ظاهری محصول هم زیباست: Positive ]"
آخه دوربین ضعیف تراکم پیکسلی کم اندروید پایین رم۲ قدیمی بودن پردازنده ,"اندروید, رم۲, پردازنده, تراکم پیکسلی, دوربین","negative, negative, negative, negative, negative","[گوشی: Negative, دوربین: Negative, اندروید: Negative, پردازنده: Negative]"
آدم یه نظر هایی میبینه که میخواد شاخ در بیاره نه در مورد این گوشی به طور کلی میگم، یه سری ها گوشیو از نزدیک هم ندیدن اونوقت یه نظر هایی مینویسن که سازنده گوشی هم نمیدونه اما در مورد این گوشی: این گوشی در حد یک میان رده خوبه کیفیت صفحه نمایش خوب و باطری نسبتن خوب چیپستاشم که یه امتیاز خوب تلقی میشه برای این گوشی فقط یکم لوس شده دست هرکی میبینی یا j۷هستیاj۵ ,"باطری, صفحه نمایش","positive, positive","['گوشی: Good', 'قیمت صفحه نمایش: Good', 'باتری: Good', 'چیپستا: Good']"
آغا من این گوشیو ۴ماهه خریدم واااقعا عالیه واسه کسایی که میخوان گوشی سامسونگ بخرن این گوشی بهترین انتخابه شک نکنید!!! ,این گوشیو,positive,['گوشی: Positive']
آقا این دیگه چه گوشی بی نظیریه ازدیجی نخریدم ورام اماراته اندروید ۷ ارتقادادم بهترین گوشی که تاحالا خریدم قبلا s۷داشتم اصلا رتضی نبودم ازش ولی این گوشی آرزوی منو براورده کرد. بخرید ببینید چه گوشیه فقطJ۷primeهمینو بس عاشقشم. ,گوشی,positive,"['گوشی: Positive', 'اندروید ۷: Positive', 'ارتقادادم: Neutral']"
آقا به نظر من کلا دستگاه خوبیه، من تقریبا دو هفتس از دیجی کالا گرفتمش واقعا ازش راضی ام، کیفیت چاپش ک برا من مهمه واقعا عالیه ولی من برا مصارف خونگی پیشنهاد میکنم درسته ک کارتیجاش گروته ولی میشه شارژش کرد ,"کیفیت چاپش, دستگاه","positive, positive","['دستگاه: Positive', 'کیفیت چاپش: Positive', 'مصارف خونگی: Neutral', 'ک کارتیجاش: Negative', 'شارژش کرد: Positive']"
آقا در یک کلام این محصول عالیه فقط وقتی دانلود میکنید، داغ میکنه که زیاد خوب نیست. ولی در برابر کاراییش هیچه!! پیشنهاد میکنم ,محصول,positive,"'محصول: Negative', 'کارایی: Positive'"
آقا عالی، حرف نداره بلافاصله گوشی به عنوان شارژ سریع شناختش. خیلی با کیفیته و کابل بسیار محکم و خوبی داره. اصلا شارژره از قیافش مشخصه که یه سرو گردن از شارژرهای دیگه بهتره ,کیفیته,positive,"['شارژ سریع: Positive', 'کیفیته: Positive', 'کابل: Positive', ' شارژر: Positive']"
"آقا من این گوشی رو نزدیکه ۲ ماه دارم روی این گوشی همه نوع بازی اجرا کردم مثل NBA ۲k۱۶, need for speed ,و …. خوبی این گوشی هنگ نمی کنه ولی یه مشکلی داره فقط تو شب هم معلوم میشه این که یک برنامه ای رو باز می کنید مثل تلگرام بعد که میرید تو یه برنامه دیگه مثل فیلم دیدن پشتش اون صفحه تلگرام خیلییییییی کم رنگ معلومه. ولی هنگ نکرده تا الان عالیه و باتری خیلی خوبی داره خیلی زود شارژ میکنه و دیرم خالی می کنه ",گوشی,positive,"['گوشی: Positive', 
'عمل بازی: Positive', 
'قابلیت اجرا برنامه ها: Neutral', 
'هنگ کردن: Negative', 
'قابلیت شارژ باتری: Positive']"
"آقا من این گوشی رو نزدیکه ۲ ماه دارم روی این گوشی همه نوع بازی اجرا کردم مثل NBA ۲k۱۶, need for speed ,و …. خوبی این گوشی هنگ نمی کنه ولی یه مشکلی داره فقط تو شب هم معلوم میشه این که یک برنامه ای رو باز می کنید مثل تلگرام بعد که میرید تو یه برنامه دیگه مثل فیلم دیدن پشتش اون صفحه تلگرام خیلییییییی کم رنگ معلومه. ولی هنگ نکرده تا الان ودوربینش عالیه و باتری خیلی خوبی داره خیلی زود شارژ میکنه و دیرم خالی می کنه ",صفحه,negative,"['گوشی: Positive', 'هنگ نکردن: Positive', 'پروگرامها: Neutral', 'باتری: Positive']"
آقا من نظر خونده بودم که سر و صداش زیاده! ولی فک نمیکردم اونقدر باشه که صدای ما همکار ها به هم نرسه! اصلا انگار اومده جنگ!!! ولی ارزونه دیگه خوبه! راضیم اما واقعا باید به همه بگم کسی تلفنی چیزی نداره یه دقیقه پرینت بگیرم! چون اصلا نمی تونین تضور کنین چقدر صدا تولید می کنه از خودش! ,صدا,negative,"[' پرینت: Neutral', 'صدا تولید: Negative']"
آقاچرا این حرفارو میزنید بابا گوشی خوبیه قدرشو نمی دونید اآقا این گوشی بیچاره براتون به اندروید ۷و۸آپدیت هم آپدیت میشه قدرشو بدونید بقرآن از این گوشی بهتر گیر نمیاد این از مدل Jیه شاهکاره بهتون قول میدم اگه بخرید عاشقش می شید. قابل توجه دوستانی که میگن فلاش جلونداره فلاش جلو تو خود صفحه نمایش گوشیه. پشیمون نمی شید. ,گوشی,positive,"['گوشی: Positive', 'اندروید: Neutral', 'اپدیت: Neutral', 'قدرشو بدونید: Positive', 'قران از این گوشی بهتر گیر نمیاد: Negative', 'از مدل Jیه شاهکاره بهتون قول میدم: Positive']"
آقایون عزیز، خانوم های محترم زیاد وقتتون رو نمیگیریم فقط اینکه تو انتخاب و خرید گوشی حساس و سخت گیر نباشید بنده خودم به شخصه ۳ هفته درگیر بررسی های مختلف بودم از lg v۲۰ و ONEPLUS ۳t شروع کردم الی ماشاال … حرف آخر اینکه با یه حساب سر انگشتی دیدم این گوشی با قیمت مناسبش از پس تمام کار های روزمرم بر میاد وارد جزییات نمیشم خلاصه که دوربینش خوب و راضی کنندست، باطریش عالیه، پردازنده جواب کار رو میده و خیلی چیز های دیگه مرسی که وقت گذاشتین ,"دوربینش, پردازنده, باطریش, قیمت","positive, positive, positive, positive","['گوشی: Positive', 'دوربین: Positive', 'پردازنده: Positive', 'باطری: Positive']"
آقایون و خانم ها اگر قصد خرید این گوشی رو دارید و دو دل هستید به انتخابتون شک نکنید با این قیمت عالیه عالیه عالیه همچیش خوبه هم دوربین، هم صفحه نمایش، هم سنسور اثر انگشت، تازه OTG هم ساپورت میکنه من کاملا رازیم ,"سنسور اثر انگشت،, صفحه نمایش،, قیمت, دوربین،","positive, positive, positive, positive","['گوشی: Positive', 'دوربین: Positive', 'صفحه نمایش: Positive', 'سنسور اثر انگشت: Positive', 'OTG ساپورت: Positive']"
آنتن دهی بسیار قوی ,آنتن دهی,positive,['انتن دهی: Positive']
آنتن گیری این مودم بسیار خوب هست و تنظیماتش هم بسیار ساده صورت می گیره. منتها ابعادش به نحوی هست که پورتهای یو اس بی مجاورش رو غیرقابل استفاده میکنه. اگر سیم کارتتون نانو یا مایکرو هست، نیاز به تبدیل سیم کارت دارین! ,"تنظیماتش, آنتن گیری, تبدیل سیم","positive, positive, positive","['مودم: Positive', 'تنظیات: Positive', 'ابعاد: Neutral', 'پورتهای یو اس بی: Negative']"
آگه دنبال گوشی هستی که در هر موقعیتی بتونی روش حساب کنی این مدل از سونی بهترین گزینه هست.. دوربینش فوق العاده است هست.. ,"دوربینش, گوشی","positive, positive","['گوشی: Positive', 'دوربین: Positive', 'باتری: Negative']"
ا ز این لحاظ که ۲کاربرد داره دستگاه خوبیه انتن دهیش (وای فای رو میگم) مثل مودم d-link ۲۷۵۰ عالی نیست ولی بد هم نیس متوسطه کلا خوبه ولی ۲تا ضعف داره یکیش که زبان چینی اپلیکیشنش هست که اصلا قابل تغییر نیست زبانش تنها راهش برای اینکه بفمید چی نوشته اینه که با یه گوشی دیگه که نرم افزار گوگل ترنسلیت روش نصبه ترجمه کنین عباراتش رو: | و ضعف اصلیش اینه که wps رو کلا نمیشه غیرفعال کرد اینجوری راحت میتونن همسایهها هک کنن: | اصلا گزینهای نداره براش توی تنظیمات شاید من ندیدم اگه هست بگید ما هم بدونیم ,دستگاه,positive,"['دستگاه: Positive', 'قابلیت ۲کاربرد: Positive', 'زبان چینی اپلیکیشن: Negative', 'وضعیت WPS: Negative']"
اa۵هم خوبه ولی به نظرم j۷pro. بهتره ,j۷pro.,positive,"'product: Positive', 'j7pro: Negative'"
ابتدا از دیجی کالا کمال تشکر دارم در کمتر از ۲۴ ساعت بعد از خرید گوشی بدستم رسید بسته بندی بسیار شکیل داره تو نظرات خوندم ولی کسی اشاره نکرده بود لازمه ذکر منم این گوشی توی جعبه یه دونه قاب دور گوشی شفاف داره که بخواین از بیرون مشابه اون تهیه کنین حداقل ۴۵ تا ۷۰ تومن باید هزینه کنین ولی این فابریک خود گوشی هست و به راحتی رو گوشی نصب میشه!!! کیفیت صدای خیلی خوبی داره هندزفریهای ارگونومیک که گوش اصلا اذیت نمیشه کیفیت دوربین متوسطه زیاد انتظار بالایی ازش نداشته باشین سنسور اثر انگشت عملکرد فوقالعاده داره کیفیت صفحه نمایش عالیه در مقایسه با همرده هاش مثل samsung a۳ ۲۰۱۷ خیلی سرتر هست باطری عالی هست ,کیفیت دوربین,neutral,"['دیجی کالا: Neutral', 'بسته بندی: Positive', 'قاب دور گوشی: Positive', 'هندزفریهای ارگونومیک: Positive', 'کیفیت صدای: Positive', 'دوربین: Neutral', 'سنسور اثر انگشت: Positive', 'کیفیت صفحه نمایش: Positive', 'باتری: Positive']"
ابتدا میخوام از عوامل وب سایت دیجی کالا تشکر کنم در مورد این ساعت میخواستم بگم که من حدود یک هفته است که از دیجی کالا خریدمش جنس بدنه این ساعت در حد متوسط و یا حتی پائینتر هست برخلاف اظهار نظر دیجی کالا در مورد شرکت سیکو که نوشته همه قطعات و ساعتهای سیکو در خود این شرکت در ژاپن تولید میشه این ساعت ساخت و یا مونتاژ چین هستش (در زیر ساعت نوشته ساخت چین) در قوطی این ساعت هیچ چیزی نوشته نشده بجز اسم سیکو!!!! از دیجی کالا خواهش میکنم هر کالایی رو که میذاره واسه فروش اولا عکس یدونه از اون کالا نذاره دوما اطلاعات کامل از جمله اینکه این کالا ساخت کجاست رو حتما بنویسه (نه مبدا برندش رو) با تشکر از دیجی کالا ,جنس بدنه این ساعت,neutral,"['ساعت سیکو: Neutral (until the last paragraph), then Negative', 'قوطی ساعت: Negative']"
ابزار خوبی هست، برای لباسهای ظریف و حتی بافتنی … تو ماشین لباسشویی ازشون محافظت میکنه ,ابزار,positive,"ابزار خوبی هست، برای لباسهای ظریف و حتی بافتنی … تو ماشین لباسشویی ازشون محافظت میکنه 

['ماشین لباسشویی: Neutral']"
ابعاد مطابق انچه توی مشخصات ذکر شده نیست رنگش شبیه به عکس نیست اصلا و کاملا تیره هست راهنما یا تصویر برای نصب نداره بسته بندی شکلیلی نداشت ولی سالم به دستم رسید جنسش هم متوسط هست در کل خریدش رو توصیه نمیکنم ,جنسش,neutral,"['ابعاد: Negative', 'رنگ: Negative', 'راهنما یا تصویر برای نصب: Negative', 'بسته بندی شکلیلی: Negative', 'جنسش: Neutral']"
ابعاد کوچیکی داره و گیره کاربردی داره سر پیچ گوشتیش ابعاد خوب و مناسبی داره نسبت به فازمترهای دیگه؛ لامپ پرنورتری داره ولی در کل کیفیت متوسطی داره و اگر فرد فنی کاری باشید جوری نیستش که از خریدش لذت ببرید! فقط بدرد همون تست برق میخوره و نه بیشتر ,کیفیت,neutral,"['ابعاد کوچیکی داره و گیره کاربردی داره: Neutral',
'سر پیچ گوشتیش ابعاد خوب و مناسبی داره نسبت به فازمترهای دیگه: Neutral',
'لامپ پرنورتری داره: Positive',
'کیفیت متوسطی داره: Negative',
'اگر فرد فنی کاری باشید جوری نیستش که از خریدش لذت ببرید!: Negative',
'بدرد همون تست برق میخوره و نه بیشتر: Neutral']"
ابعادش کمی کوتاهه متاسفانه ومفصل هاشم پلاستیکیه. کار من رو برای مطاله راه می ندازه خوبه ,"ابعادش, ومفصل هاشم","negative, negative","['ابعادش: Negative', 'مفصل ها: Negative', 'کار من رو برای مطاله: Positive']"
ابن گوشی رو سال قبل با توجه به نظرات مثبت اکثر کاربران برای همسرم از دیجی کالا خریدم. موقع خرید به خاطر ظاهرش تردید داشتم. چون از نظر من گوشی های سامسونگ قشنگ نیستن. همسرم خیلی از این گوشی راضی هست. بخصوص که اندرویدش رو ارتقا داد. میزان استفاده ایشون از گوشی زیاد هست. بعضی ها در مورد کیفیت صفحه نمایش، دوربین جلو ناراضی بودن. که البته این تا حدی بستگی به انتظار هر فرد از گوشی و سلیقه و دیدگاه (تخصصی یا غیر تخصصی) افراد داره. با توجه به قیمت مناسبش در سال گذشته گوشی خیلی خوبی هست. ,"گوشی, قیمت, گوشی, ظاهرش","positive, positive, positive, negative","['گوشی: Positive', 'ظاهر: Neutral', 'اندروید: Positive', 'صفحه نمایش: Mixed', 'دوربین جلو: Negative', 'قیمت: Positive']"
اتصالاتش کامله جمع و جوره کار کردن باهاش خیلی راحته و دنگ و فنگ نداره حجم صداش در حد متوسطه کیفیت ساختش هم متوسطه در کل محصول خوبیه و راضیتون میکنه فقط کاش وقتی شارژ نداره به محض اتصال به usb میشد ازش استفاده کرد اما این طور نیست ,"حجم صداش, کیفیت ساختش","neutral, neutral","اتصالاتش: Neutral
کامله جمع و جوره کار کردن باهاش: Positive
راحته و دنگ و فنگ نداره: Positive
حجم صداش در حد متوسطه: Neutral
کیفیت ساختش هم متوسطه: Neutral
محصول خوبیه و راضیتون میکنه: Positive
اما کاش وقتی شارژ نداره به محض اتصال به usb میشد ازش استفاده کرد: Negative
این طور نیست: Negative"
اتو این رنج قیمت بهترین انتخاب هستش. من با تمام گوشیهای هم سطح خودش مقایسه کردم. بدون شک از همشون بهتره اون هم با اختلاف. ,قیمت,positive,"اتو: Positive
رنج: Positive"
اثر انگشت نداره برخلاف چیز هایی که درباره گوشی نوشته شده من میخواست p۹ liteبگیرم ولی فروشنده اینو پیشنهاد داد گرفتم این اشتباه رو نکنید p۹liteهم قیمت k۱۰هست و امکاناتش بهتره اثر انگشت هم داره. ,اینو,negative,"['انگشت سنج: Negative', 'قیمت: Neutral', 'امکانات: Positive', 'اثر انگشت: Positive']"
